,Subjects,Difference,Total-B/D,Study,AgeProfile
316,Subj_317,-320,56.00000000000001,Wood,Young
317,Subj_318,-1030,63.0,Wood,Young
318,Subj_319,-1850,59.0,Wood,Young
319,Subj_320,-775,54.0,Wood,Young
320,Subj_321,-1600,65.0,Wood,Young
321,Subj_322,-550,52.0,Wood,Young
322,Subj_323,-2210,63.0,Wood,Young
323,Subj_324,-450,53.0,Wood,Young
324,Subj_325,590,60.0,Wood,Young
325,Subj_326,-380,66.0,Wood,Young
326,Subj_327,-1455,62.0,Wood,Young
327,Subj_328,-2405,39.0,Wood,Young
328,Subj_329,-1640,67.0,Wood,Young
329,Subj_330,-1210,51.0,Wood,Young
330,Subj_331,-840,56.99999999999999,Wood,Young
331,Subj_332,1805,33.0,Wood,Young
332,Subj_333,1190,57.99999999999999,Wood,Young
333,Subj_334,-2485,55.00000000000001,Wood,Young
334,Subj_335,-1090,54.0,Wood,Young
335,Subj_336,-1340,46.0,Wood,Young
336,Subj_337,-650,60.0,Wood,Young
337,Subj_338,-4250,59.0,Wood,Young
338,Subj_339,-330,65.0,Wood,Young
339,Subj_340,-620,51.0,Wood,Young
340,Subj_341,-1035,52.0,Wood,Young
341,Subj_342,-1180,49.0,Wood,Young
342,Subj_343,-60,46.0,Wood,Young
343,Subj_344,1430,56.00000000000001,Wood,Young
344,Subj_345,-655,60.0,Wood,Young
345,Subj_346,-680,64.0,Wood,Young
346,Subj_347,-1710,53.0,Wood,Young
347,Subj_348,-920,62.0,Wood,Young
348,Subj_349,925,76.0,Wood,Young
349,Subj_350,375,53.0,Wood,Young
350,Subj_351,-1410,63.0,Wood,Young
351,Subj_352,610,74.0,Wood,Young
352,Subj_353,-920,60.0,Wood,Young
353,Subj_354,-240,70.0,Wood,Young
354,Subj_355,-710,53.0,Wood,Young
355,Subj_356,-1075,49.0,Wood,Young
356,Subj_357,-1300,51.0,Wood,Young
357,Subj_358,-2170,56.00000000000001,Wood,Young
358,Subj_359,70,38.0,Wood,Young
359,Subj_360,-780,67.0,Wood,Young
360,Subj_361,195,61.0,Wood,Young
361,Subj_362,1135,75.0,Wood,Young
362,Subj_363,-855,64.0,Wood,Young
363,Subj_364,-1465,50.0,Wood,Young
364,Subj_365,-715,50.0,Wood,Young
365,Subj_366,-290,44.0,Wood,Young
366,Subj_367,-145,81.0,Wood,Young
367,Subj_368,-1810,63.0,Wood,Young
368,Subj_369,-2225,65.0,Wood,Young
369,Subj_370,-1430,52.0,Wood,Young
370,Subj_371,-1160,68.0,Wood,Young
371,Subj_372,-630,56.00000000000001,Wood,Young
372,Subj_373,-1025,56.00000000000001,Wood,Young
373,Subj_374,-1165,61.0,Wood,Young
374,Subj_375,-325,59.0,Wood,Young
375,Subj_376,-2010,55.00000000000001,Wood,Young
376,Subj_377,1315,33.0,Wood,Young
377,Subj_378,-1480,73.0,Wood,Young
378,Subj_379,920,75.0,Wood,Young
379,Subj_380,965,69.0,Wood,Young
380,Subj_381,840,60.0,Wood,Young
381,Subj_382,-2190,48.0,Wood,Young
382,Subj_383,2500,35.0,Wood,Young
383,Subj_384,-455,61.0,Wood,Young
384,Subj_385,495,62.0,Wood,Young
385,Subj_386,-1565,47.0,Wood,Young
386,Subj_387,-170,49.0,Wood,Young
387,Subj_388,-1235,67.0,Wood,Young
388,Subj_389,-3725,69.0,Wood,Young
389,Subj_390,510,60.0,Wood,Young
390,Subj_391,330,84.0,Wood,Young
391,Subj_392,-490,50.0,Wood,Young
392,Subj_393,-1355,51.0,Wood,Young
393,Subj_394,-585,61.0,Wood,Young
394,Subj_395,-535,68.0,Wood,Young
395,Subj_396,-1000,56.99999999999999,Wood,Young
396,Subj_397,-1160,54.0,Wood,Young
397,Subj_398,-1265,49.0,Wood,Young
398,Subj_399,1410,42.0,Wood,Young
399,Subj_400,-610,48.0,Wood,Young
400,Subj_401,-2260,78.0,Wood,Young
401,Subj_402,250,56.00000000000001,Wood,Young
402,Subj_403,-910,53.0,Wood,Young
403,Subj_404,-425,68.0,Wood,Young
404,Subj_405,-995,59.0,Wood,Young
405,Subj_406,895,67.0,Wood,Young
406,Subj_407,-1140,74.0,Wood,Young
407,Subj_408,-1540,74.0,Wood,Old
408,Subj_409,-1735,66.0,Wood,Old
409,Subj_410,-1295,68.0,Wood,Old
410,Subj_411,-600,56.00000000000001,Wood,Old
411,Subj_412,885,62.0,Wood,Old
412,Subj_413,-1570,77.0,Wood,Old
413,Subj_414,360,25.0,Wood,Old
414,Subj_415,-1530,56.99999999999999,Wood,Old
415,Subj_416,-200,82.0,Wood,Old
416,Subj_417,1880,69.0,Wood,Old
417,Subj_418,-600,48.0,Wood,Old
418,Subj_419,-3225,80.0,Wood,Old
419,Subj_420,-1850,59.0,Wood,Old
420,Subj_421,270,72.0,Wood,Old
421,Subj_422,2005,54.0,Wood,Old
422,Subj_423,-505,67.0,Wood,Old
423,Subj_424,-1220,49.0,Wood,Old
424,Subj_425,-525,68.0,Wood,Old
425,Subj_426,-2135,54.0,Wood,Old
426,Subj_427,-1350,53.0,Wood,Old
427,Subj_428,490,55.00000000000001,Wood,Old
428,Subj_429,-1415,73.0,Wood,Old
429,Subj_430,-535,67.0,Wood,Old
430,Subj_431,290,50.0,Wood,Old
431,Subj_432,-850,49.0,Wood,Old
432,Subj_433,-850,49.0,Wood,Old
433,Subj_434,-990,53.0,Wood,Old
434,Subj_435,-4050,67.0,Wood,Old
435,Subj_436,-1345,60.0,Wood,Old
436,Subj_437,-145,81.0,Wood,Old
437,Subj_438,-560,59.0,Wood,Old
438,Subj_439,-1425,74.0,Wood,Old
439,Subj_440,-2260,61.0,Wood,Old
440,Subj_441,-2065,67.0,Wood,Old
441,Subj_442,-735,70.0,Wood,Old
442,Subj_443,-2125,67.0,Wood,Old
443,Subj_444,-1550,73.0,Wood,Old
444,Subj_445,-130,56.99999999999999,Wood,Old
445,Subj_446,-1775,71.0,Wood,Old
446,Subj_447,-900,67.0,Wood,Old
447,Subj_448,-1570,78.0,Wood,Old
448,Subj_449,1045,74.0,Wood,Old
449,Subj_450,-1420,50.0,Wood,Old
450,Subj_451,-595,60.0,Wood,Old
451,Subj_452,-470,51.0,Wood,Old
452,Subj_453,2360,33.0,Wood,Old
453,Subj_454,-565,66.0,Wood,Old
454,Subj_455,-1510,56.99999999999999,Wood,Old
455,Subj_456,-2475,77.0,Wood,Old
456,Subj_457,-1860,75.0,Wood,Old
457,Subj_458,-2330,63.0,Wood,Old
458,Subj_459,2480,73.0,Wood,Old
459,Subj_460,-3290,73.0,Wood,Old
460,Subj_461,-3290,73.0,Wood,Old
461,Subj_462,-720,73.0,Wood,Old
462,Subj_463,-2000,59.0,Wood,Old
463,Subj_464,-1570,64.0,Wood,Old
464,Subj_465,2400,70.0,Wood,Old
465,Subj_466,-1035,52.0,Wood,Old
466,Subj_467,-2375,69.0,Wood,Old
467,Subj_468,1390,76.0,Wood,Old
468,Subj_469,-2235,50.0,Wood,Old
